Library name,Address 1,Address 2,Address 3,Postcode,URL
Golspie Library,Back Road,,Sutherland,KW10 6RF,https://www.highlifehighland.com/libraries/golspie-library/
Gorbals Library,180 Crown Street,,Glasgow ,G5 9XD,http://www.glasgowlife.org.uk/libraries/your-local-library/gorbals-library/Pages/home.aspx
Gorebridge Library,98 Hunterfield Road,,Gorebridge ,EH23 4TT,https://www.midlothian.gov.uk/directory_record/60/gorebridge_library
Gourock Library,Kempock Place,,Gourock,PA19 1QU,https://www.inverclyde.gov.uk/community-life-and-leisure/libraries/about-our-libraries/library-locations
Govanhill library,170 Langside Road,,Glasgow,G42 7JU,http://www.glasgowlife.org.uk/libraries/your-local-library/govanhill-library/Pages/home.aspx
Grangemouth Library,Bo'ness Road,,Grangemouth,FK3 8AG,http://www.falkirkcommunitytrust.org/venues/grangemouth-library/
Granton Library,29 Wardieburn Terrace ,,Edinburgh,EH5 1DD,https://www.edinburgh.gov.uk/directory_record/5063/granton_library
Grantown on Spey Library,The Court House,,80 High St,PH26 3EL,https://www.highlifehighland.com/libraries/grantown-on-spey-library/
Greenhills Library,Greenhills Square ,,East Kilbride ,G75 8TT,http://www.slleisureandculture.co.uk/info/85/greenhills_library
Gretna Library & Customer Service Centre,Central Avenue ,,Gretna ,DG16 5AQ,http://www.dumgal.gov.uk/article/15402/DG-Customer-Services---Gretna
Gullane Library,East Links Road,,Gullane,EH31 2AF,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/6
Haddington Library,The John Gray Centre,,Lodge Street ,EH41 3DX,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/7
Halfway Library,211 Hamilton Road,,Halfway,G72 7PJ,http://www.slleisureandculture.co.uk/info/86/halfway_library
Hamilton Town House Library,102 Cadzow Street ,,Hamilton,ML3 6HH,http://www.slleisureandculture.co.uk/info/87/hamilton_town_house_library
Hawick Library,North Bridge Street,,Hawick,TD9 9QT,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/hawick_library(1).aspx
Helensburgh Library,West King Street,,Helensburgh,G84 8EB,https://www.argyll-bute.gov.uk/library/helensburgh-library
Helmsdale Library,Dunrobin St,,Helmsdale,KW8 6JX,https://www.highlifehighland.com/libraries/helmsdale-library/
Hillhead Library,348 Byres Road,,Glasgow ,G12 8AP,http://www.glasgowlife.org.uk/libraries/your-local-library/hillhead-library/Pages/home.aspx
Hillhouse Library,Hillhouse Road,,Hamilton,ML3 9TX,http://www.slleisureandculture.co.uk/info/88/hillhouse_library
Hub Community Library & Learning Centre,171 Pitkerro Road,,Dundee,DD4 8ES,http://www.leisureandculturedundee.com/hub-community-library-and-learning-centre
Huntly Library,The Square,,Huntly,AB54 8BR,https://www.aberdeenshire.gov.uk/libraries/
Ibrox Library,1 Midlock Street,,Glasgow ,G51 1SL,http://www.glasgowlife.org.uk/libraries/your-local-library/ibrox-library/Pages/home.aspx
Innerleithen Library Contact Centre ,Buccleuch Street,,Innerleithen,EH44 6LA,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/innerleithen_library_contact_centre(1).aspx
Insch Library,Rannes Street,,Insch,AB52 6JJ,https://www.aberdeenshire.gov.uk/libraries/
Inshes Library,Inshes Road,,Inverness,IV2 3RF,https://www.highlifehighland.com/libraries/inshes-library/
Inverbervie Library,Church Street,,Inverbervie,DD10 0RU,https://www.aberdeenshire.gov.uk/libraries/
Invergordon Library,High Street ,,Invergordon,IV18 0DG,https://www.highlifehighland.com/libraries/invergordon-library/
Inverkeithing Library & Heritage Centre,Inverkeithing Local Office Civic Centre,,10 Queen Street,KY11 1PA,http://onfife.com/venues/inverkeithing-library-and-heritage-centre
Inverkip and Weymss Bay Library,Inverkip Community Hub ,,Main Street,PA16 0FZ,https://www.inverclyde.gov.uk/community-life-and-leisure/libraries/about-our-libraries/library-locations
Inverness Library,Farraline Park,,Inverness,IV1 1NH,https://www.highlifehighland.com/libraries/inverness-library/
Inverurie Library,Town Hall ,,Market Place,AB51 3SN,https://www.aberdeenshire.gov.uk/libraries/
Irvine Library,168 High Street,,Irvine,KA12 8AN,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000085
Jenny Lee (Lochgelly) Library,Lochgelly Centre,,Bank Street,KY5 9RD,http://onfife.com/venues/jennie-lee-library
John Rodie Library,39 Annbank Road,,Mossblown,KA6 5DZ,https://www.south-ayrshire.gov.uk/libraries/branches/mossblown-library.aspx
Johnstone Library,25 Church Street,, Johnstone,PA5 8FA,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Kaimhill Library,Pitmedden Terrace,,Aberdeen,AB10 7HR,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Keith Library,Union Street,,Keith,AB55 5DP,http://www.moray.gov.uk/moray_standard/page_39968.html
Kelso Library Contact Centre ,Bowmont Street,,Kelso,TD5 7JH,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/kelso_library_contact_centre(1).aspx
Kelty Library,Kelty Library,,Cocklaw Street,KY4 0DD,http://onfife.com/venues/kelty-library
Kemnay Library,Kendal Road,,Kemnay,AB51 5RN,https://www.aberdeenshire.gov.uk/libraries/
Kennoway Library,1 Bishops Court,,Kennoway,KY8 5LA,http://onfife.com/venues/kennoway-library
Kilbirnie Library,Avils Place,,Kilbirnie,KA25 6BL,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000086
Killin Library,Main Street,,Killin,FK21 8UW,http://my.stirling.gov.uk/facilities/view/75
Kilmacolm Library,Lochwinnoch Road ,,Kilmacolm,PA13 4LE,https://www.inverclyde.gov.uk/community-life-and-leisure/libraries/about-our-libraries/library-locations
Kilsyth Library,Burngreen,,Kilsyth,G65 0HT,https://culturenl.co.uk/libraries/your-library/kilsyth-library/
Kilwinning Library,St Winnings Lane,,Kilwinning,KA13 6EP,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000087
Kincardine Library,2 Keith Street,,Kincardine,FK10 4ND,http://onfife.com/venues/kincardine-library
Kincorth Library,Provost Watt Drive,,Aberdeen,AB12 5NA,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Kinlochleven Community Library,Riverside Rd,,Kinlochleven,PH50 4QH,https://www.highlifehighland.com/libraries/kinlochleven-community-library/
Kintore Library,Castle Walk,,Kintore,AB51 0RU,https://www.aberdeenshire.gov.uk/libraries/
Kirkcaldy Galleries ,War Memorial Gardens,,Kirkcaldy,KY1 1YG,http://onfife.com/venues/kirkcaldy-galleries
Kirkconnel Library,Greystone Avenue,,Kelloholm,DG4 6RA,http://www.dumgal.gov.uk/article/15579/DG-Customer-Services---Kirkconnel
Kirkcudbright Library,Sheriff Court House,,Kirkcudbright,DG6 4JW,http://www.dumgal.gov.uk/article/15391/DG-Customer-Services---Kirkcudbright
Kirkliston Library,16 Station Road,,Kirkliston,EH29 9BE,https://www.edinburgh.gov.uk/directory_record/5064/kirkliston
Kirkton Community Library ,Derwent Avenue,,Dundee,DD3 0AX,http://www.leisureandculturedundee.com/kirkton-community-library
Kirkwall Library,44 Junction Road,,Kirkwall,KW15 1AG,http://www.orkneylibrary.org.uk/html/kirklibrary.htm
Kirriemuir Library,Town Hall ,,Reform Street ,DD8 4BS,http://www.angus.gov.uk/directory_record/168/kirriemuir_library
Knightswood Library,27 Dunterlie Avenue,,Glasgow ,G13 3BB,http://www.glasgowlife.org.uk/libraries/your-local-library/knightswood-library/Pages/home.aspx
Knoydart Library,The Store ,,Inverie,PH41 4PL,https://www.highlifehighland.com/libraries/knoydart-library/
Kyle of Lochalsh Library,Kintail House,,Main Street,IV40 8AB,https://www.highlifehighland.com/libraries/kyle-of-lochalsh-library/
Ladybank Library,The Maltings,,23 Commercial Road,KY15 7JS,http://onfife.com/venues/ladybank-library
Lairg Library,Main St,,Lairg,IV27 4DD,https://www.highlifehighland.com/libraries/lairg-library/
Lanark Library,16 Hope Street,,Lanark,ML11 7LZ,http://www.slleisureandculture.co.uk/info/89/lanark_library
Langholm Library & Customer Service Centre,Market Place,,Langholm,DG13 0JQ,http://www.dumgal.gov.uk/article/15404/DG-Customer-Services---Langholm
Langside Library,2 Sinclair Drive,,Glasgow ,G42 9QE,http://www.glasgowlife.org.uk/libraries/your-local-library/langside-library/Pages/home.aspx
Lanthorn Library,Lanthorn Community Centre,,Kenilworth Rise ,EH54 6NY,https://www.westlothian.gov.uk/article/2242/Lanthorn-Library-Dedridge
Larbert Library,22 Hallam Road ,,Larbert,FK5 3JX,http://www.falkirkcommunitytrust.org/venues/larbert-library/
Largs Library,26 Allanpark Street ,,Largs ,KA30 9AG,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000088
Larkhall Library,Larkhall Area Office ,,30 Union Street ,ML9 1DR,http://www.slleisureandculture.co.uk/info/90/larkhall_library
Lasswade Library,The Lasswade Centre,,19 Eskdale Drive,EH19 2LA,https://www.midlothian.gov.uk/directory_record/57/lasswade_library
Leith Library,28-30 Ferry Road,,Leith,EH6 4AE,https://www.edinburgh.gov.uk/directory_record/5065/leith_library
Lennoxtown Library,46 Main Street,,Lennoxtown,G66 7JJ,http://www.edlc.co.uk/libraries/your-local-library/lennoxtown
Lenzie Library,13 Alexandra Avenue,,Lenzie,G66 5BG,http://www.edlc.co.uk/libraries/your-local-library/lenzie
Lerwick Library,Lower Hillhead,,Lerwick,ZE1 0EL,http://www.shetland-library.gov.uk/OpeningHours.asp
Leslie Library,289 High Street,,Leslie,KY6 3AX,http://onfife.com/venues/leslie-library
Lesmahagow Library ,48 Abbeygreen,,Lesmahagow,ML11 0EF,http://www.slleisureandculture.co.uk/info/91/lesmahagow_library
Leven Library,16 Durie Street,,Leven,KY8 4HE,http://onfife.com/venues/leven-library
Library at GoMA,Royal Exchange Square,,Glasgow ,G1 3AH,http://www.glasgowlife.org.uk/libraries/your-local-library/library-at-goma/Pages/home.aspx
Library at The Bridge,1000 Westerhouse Road,,Easterhouse,G34 9JW,http://www.glasgowlife.org.uk/libraries/your-local-library/library-at-the-bridge/Pages/home.aspx
Linlithgow Library,Linlithgow Partnership Centre,,High Street,EH49 7EZ,https://www.westlothian.gov.uk/article/2246/Linlithgow-Library
Linwood Library,15 Bridge Street,,Linwood,PA3 3DB,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Lionacleit Library,Sgoil Lionacleit,,Isle of Benbecula,HS7 5PJ,http://www.cne-siar.gov.uk/library/libraries/lionacleit.asp
Loanhead Library,George Avenue,, Loanhead ,EH20 9LA,https://www.midlothian.gov.uk/directory_record/61/loanhead_library
Local History Library,Linlithgow Partnership Centre,,Linlithgow,EH49 7EQ,https://www.westlothian.gov.uk/article/2055/Local-History-Library
Loch Leven Community Library,Loch Leven Community Campus,,Muirs,KY13 8FQ,http://www.culturepk.org.uk/your-local-library/loch-leven-community-library/
Lochcarron Library,The Howard Doris Centre ,,Lochcarron,IV54 8UD,https://www.highlifehighland.com/libraries/lochcarron-library/
Lochee Community Library ,High Street ,,Lochee,DD2 3AU,http://www.leisureandculturedundee.com/lochee-community-library
Lochgilphead Library,Manse Brae,,Lochgilphead ,PA31 8QZ,https://www.argyll-bute.gov.uk/library/lochgilphead-library
Lochmaben Library & Customer Service Centre,Town Hall,,High Street ,DG11 1NQ,http://www.dumgal.gov.uk/article/15405/DG-Customer-Services---Lochmaben
Lochside Library,Lochside Road ,,Dumfries ,DG2 0LW,http://www.dumgal.gov.uk/article/15580/DG-Customer-Services---Lochside-Dumfries
Lochthorn Library,Lochthorn ,,Dumfries,DG1 1UF,http://www.dumgal.gov.uk/article/15581/DG-Customer-Services---Lochthorn-Dumfries
Lochwinnoch Library,Old School High Street,,PA12 4AB,PA12 4AB,http://www.whatsonrenfrewshire.co.uk/listings/lochwinnoch-library/
Lockerbie Library & Customer Service Centre,31-33 High Street,,Lockerbie,DG11 2JL,http://www.dumgal.gov.uk/article/15577/DG-Customer-Services---Lockerbie
Longniddry Library,Church Way,,Longniddry,EH32 0LW,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/8
Lossiemouth Library,Town Hall Lane,,Lossiemouth,IV31 6AA,http://www.moray.gov.uk/moray_standard/page_39970.html
Macduff Library,17 High Street,,Macduff,AB44 1LR,https://www.aberdeenshire.gov.uk/libraries/
Mallaig Library,Mallaig & Morar Community Centre,,West Bay,PH41 4PX,https://www.highlifehighland.com/libraries/mallaig-library/
Maryhill Library,1508 Maryhill Road,,Glasgow,G20 9AD,http://www.glasgowlife.org.uk/libraries/your-local-library/maryhill-library/Pages/home.aspx
Mastrick Library,Greenfern Road ,,Aberdeen ,AB16 6TR,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Mayfield Library,1 Stone Avenue,,Dalkeith ,EH22 5PB,https://www.midlothian.gov.uk/directory_record/62/mayfield_library
Maypole Library ,1 High Street,,Maybole  ,KA19 7AB,https://www.south-ayrshire.gov.uk/libraries/branches/maybole-library.aspx
McDonald Road Library,2 McDonald Road,,Edinburgh,EH7 4LU,https://www.edinburgh.gov.uk/directory_record/5066/mcdonald_road_library
Meadowbank Library,Stevenson Avenue,,Polmont,FK2 0GU,http://www.falkirkcommunitytrust.org/venues/meadowbank-library/
Mearns Community Campus Library,Aberdeen Road ,,Laurencekirk,AB30 1ZJ,https://www.aberdeenshire.gov.uk/libraries/
Mearns Library,Mackinlay Place,,Newton Mearns,G77 6EZ,http://www.ercultureandleisure.org/mearnslibrary
Meldrum Library,Colpy Road,,Oldmeldrum,AB51 0NT,https://www.aberdeenshire.gov.uk/libraries/
Melrose Library,18 Market Square,,Melrose,TD6 9PN,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/melrose_library(1).aspx
Menstrie Community Access Point,Dumyat Community Centre,,Main Street East,FK11 7BL,http://www.clacksweb.org.uk/culture/menstriecap/
Menzieshill Community Library,Orleans Place ,,Menzieshill,DD2 4BH,http://www.leisureandculturedundee.com/menzieshill-community-library
Methil Library,Methill Library,,Wellesley Road ,KY8 3QR,http://onfife.com/venues/methil-heritage-centre
Millport Library,Garrison House,,The Garrison,KA28 0DG,millportlibrary@north-ayrshire.gov.uk
Milngavie Library,Allander Road,,Milngavie,G62 8PN,http://www.edlc.co.uk/libraries/your-local-library/milngavie
Milton Library,Milton Community Campus,,204 Liddesdale Road,G22 7QR,http://www.glasgowlife.org.uk/libraries/your-local-library/milton-library/Pages/home.aspx
Mintlaw Library,Newlands Road,,Mintlaw,AB42 5GP,https://www.aberdeenshire.gov.uk/libraries/
Mitchell Library,North Street ,,Glasgow,G3 7DN,http://www.glasgowlife.org.uk/libraries/the-mitchell-library/Pages/home.aspx
Moffat Library,High Street,,Moffat,DG10 9HF,http://www.dumgal.gov.uk/article/15578/DG-Customer-Services---Moffat
Monifieth Library,High Street ,,Monifieth Library,DD5 4AE,http://www.angus.gov.uk/directory_record/169/monifieth_library
Montrose Library,High Street,,Montrose ,DD10 8PH,http://www.angus.gov.uk/directory_record/170/montrose_library
Moodiesburn Library,Glenmanor Avenue,,Moodiesburn ,G69 0DL,https://culturenl.co.uk/libraries/your-library/moodiesburn-library/
Moredun Library,Moredun Park Road,,Edinburgh,EH17 7HL,https://www.edinburgh.gov.uk/directory_record/5067/moredun_library
Morningside Library,184 Morningside Road,,Edinburgh,EH10 4PU,https://www.edinburgh.gov.uk/directory_record/5068/morningside_library
Mossblown Library,39 Annbank Road,,Ayr,KA6 5DZ,http://www.south-ayrshire.gov.uk/libraries/
Motherwell Library,35 Hamilton Road,, Motherwell,ML1 3BZ,https://culturenl.co.uk/libraries/your-library/motherwell-library/
Muir of Ord Library,Great North Road,,Muir of Ord,IV6 7RR,https://www.highlifehighland.com/libraries/muir-of-ord-library/
Muirhouse Library,15 Pennywell Court,,Edinburgh,EH4 4TZ,https://www.edinburgh.gov.uk/directory_record/5069/muirhouse_library
Musselburgh Library,10 Bridge Street,,Musselburgh ,EH21 6AG,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/9
Nairn Library,High Street,,Nairn,IV12 4BS,https://www.highlifehighland.com/libraries/nairn-library/
Neilston Library,Main Street,,Neilston,G78 3NN,http://www.ercultureandleisure.org/neilstonlibrary
Netherlee Library,Netherlee Pavilion,,Linn Park Avenue,G44 3PG,http://www.ercultureandleisure.org/netherleelibrary
New Pitsligo Library,79 High Street,,New Pitsligo,AB43 6NH,https://www.aberdeenshire.gov.uk/libraries/
New Stevenston Library,Coronation Road East,,New Stevenston,ML1 4HX,https://culturenl.co.uk/libraries/your-library/new-stevenston-library/
Newarthill Library,Kirkhall Road,,Newarthill,ML1 5BB,https://culturenl.co.uk/libraries/your-library/newarthill-library/
Newbattle Library,Newbattle Community Campus,,1 Newbattle Way,EH22 4SX,https://www.midlothian.gov.uk/directory_record/20096725/newbattle_library
Newburgh Library,Tayside Institute,,90-92 High Street,KY14 6DA,http://onfife.com/venues/newburgh-heritage-centre
Newington Library,17-21 Fountainhall Road ,,Edinburgh,EH9 2LN,https://www.edinburgh.gov.uk/directory_record/5070/newington_library
Newmachar Library,School Road,,Newmachar,AB21 0WB,https://www.aberdeenshire.gov.uk/libraries/
Newmains Library,The NCT Centre  ,,15 Manse Road ,ML2 9AX,https://culturenl.co.uk/libraries/your-library/newmains-library/
Newmilns Library,4 Craigview Road,,Newmilns,KA16 9DQ,http://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=54
Newport Library,Blyth Hall,,3 Scott Street,DD6 8DD,http://onfife.com/venues/newport-library
Newton Stewart Library & Customer Service Centre,Church Street ,,Newton Stewart,DG8 6ER,http://www.dumgal.gov.uk/article/15584/DG-Customer-Services---Newton-Stewart
Newtongrange Library,St Davids,,Newtongrange ,EH22 4LG,https://www.midlothian.gov.uk/directory_record/63/newtongrange_library
Newtonhill Library,Coastal Car Park,,Newtonhill,AB39 3UL,https://www.aberdeenshire.gov.uk/libraries/
North Berwick Library,The Old School,,School Road ,EH39 4JU,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/10
North Inch Community Library,North Inch Community Campus,,Gowans Terrace,PH1 5BF,http://www.culturepk.org.uk/your-local-library/north-inch-community-library/
Northfield Library,Byron Square,,Aberdeen,AB16 7LL,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Oakley Library,Oakley Campus,,Station Road,KY12 9RJ,http://onfife.com/venues/oakley-library
Oban Library,77 Albany Street,,Oban,PA34 4AL,https://www.argyll-bute.gov.uk/library/oban-library
Ormiston Library,5A Meadowbank,,Ormiston,EH35 5LQ,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/11
Oxgangs Library,343 Oxgangs Road North ,,Edinburgh,EH13 9LY,https://www.edinburgh.gov.uk/directory_record/5071/oxgangs_library
Paisley Library / Heritage Centre,15 Mill Street,,Paisley,PA1 1ND,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Parkhall Library,Hawthorn Street,,Parkhall,G81 3EF,http://www.west-dunbarton.gov.uk/libraries/library-branches/parkhall-library/
Parkhead Library,64 Tollcross Road,,Glasgow,G31 4XA,http://www.glasgowlife.org.uk/libraries/your-local-library/parkhead-library/Pages/home.aspx
Partick Library,305 Dumbarton Road,,Glasgow,G11 6AB,http://www.glasgowlife.org.uk/libraries/your-local-library/partick-library/Pages/home.aspx
Patna Library,Whitehill Avenue,,Patna,KA6 7LY,http://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=56
Peebles Library,Chambers Institute,,Peebles,EH45 8AG,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/peebles_library(1).aspx
Penicuik Library,Carlops Road,,Penicuik ,EH26 9EP,https://www.midlothian.gov.uk/directory_record/64/penicuik_library
Peterhead Llibrary,51 St Peter Street ,,Peterhead,AB42 1QD,https://www.aberdeenshire.gov.uk/libraries/
Piershill Library,30 Piersfield Terrace ,,Edinburgh,EH8 7BQ,https://www.edinburgh.gov.uk/directory_record/5072/piershill_library
Pitlochry Library,26 Atholl Road,,Pitlochry,PH16 5BX,pitlochrylibrary@culturepk.org.uk
Plean Library,Main Street,, Plean,FK7 8BT,http://my.stirling.gov.uk/facilities/view/77
Plockton Library,Village Hall,,Harbour Street,IV52 8TG,https://www.highlifehighland.com/libraries/plockton-library/
Pollok Library,Pollok Civic Realm,,27 Cowglen Road,G53 6EW,http://www.glasgowlife.org.uk/libraries/your-local-library/pollok-library/Pages/home.aspx
Pollokshaws Library,50/60 Shawbridge Street,,Glasgow,G43 1RW,http://www.glasgowlife.org.uk/libraries/your-local-library/pollokshaws-library/Pages/home.aspx
Pollokshields Library,30 Leslie Street,,Glasgow ,G41 2TE,http://www.glasgowlife.org.uk/libraries/your-local-library/pollokshields-library/Pages/home.aspx
Port Glasgow Library,Fore Street,,Port Glasgow,PA14 5EQ,https://www.inverclyde.gov.uk/community-life-and-leisure/libraries/about-our-libraries/library-locations
Port Seton Library,Community Centre,,South Seton Park,EH32 0BG,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/12
Port William Library,Maxwell Hall,,Main Street,DG8 9SD,http://www.dumgal.gov.uk/article/15585/DG-Customer-Services---Port-William
Portlethen Library,Bruntland Road,,Portlthen,AB12 4QL,https://www.aberdeenshire.gov.uk/libraries/
Portobello Library,14 Rosefield Avenue ,,Edinburgh,EH15 1AU,https://www.edinburgh.gov.uk/directory_record/5073/portobello_library
Portree Community Library,Viewfield Road ,,Portree,IV51 9ET,https://www.highlifehighland.com/libraries/portree-library/
Portsoy Library,Arid Green,,Portsoy,AB45 2RH,https://www.aberdeenshire.gov.uk/libraries/
Possilpark Library,127 Allander Street,,Glasgow,G22 5JJ,http://www.glasgowlife.org.uk/libraries/your-local-library/possilpark-library/Pages/home.aspx
Prestonpans Library,West Loan,,Prestonpans,EH32 9NX,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/13
Prestwick Library,14 Kyle Street,,Prestwick,KA9 1PQ,https://www.south-ayrshire.gov.uk/libraries/branches/prestwick-library.aspx
Pumpherston Library,Pumpherston and Uphall Station Community Primary School ,,Drumshoreland Road ,EH53 0LF,https://www.westlothian.gov.uk/article/2247/Pumpherston-Library
Ralston Library,Ralston Community Centre,,Allanton Avenue,PA1 3BL,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Raploch Express Library,Raploch Community Campus,,Drip Road,FK8 1SD,http://my.stirling.gov.uk/facilities/view/78
Ratho Library,6 School Wynd,,Ratho ,EH28 8TT,https://www.edinburgh.gov.uk/directory_record/5074/ratho_library
Renfrew Library,Paisley Road,,Renfrew,PA4 8LJ,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Riddrie Library,1020 Cumbernauld Road,,Glasgow,G33 2QS,http://www.glasgowlife.org.uk/libraries/your-local-library/riddrie-library/Pages/home.aspx
Rosehearty Library ,Pitsligo Street,,Rosehearty,AB43 7JL,https://www.aberdeenshire.gov.uk/libraries/
Rosneath Library,Clachan Road,,Rosneath,G84 0RJ,https://www.argyll-bute.gov.uk/library/rosneath-library
Rosyth Library,Parkgate,,Rosyth,KY11 2JW,http://onfife.com/venues/rosyth-library
Rothes Halls Library,Kingdom Shopping Centre,,Glenrothes,KY7 5NX,http://onfife.com/venues/rothes-halls-library
Rothesay Library,Stuart Street ,,Rothesay ,PA20 0BX,https://www.argyll-bute.gov.uk/library/rothesay-library
Royston Library,67 Royston Road,,Glasgow,G21 2QW,http://www.glasgowlife.org.uk/libraries/your-local-library/royston-library/Pages/home.aspx
Rutherglen Library,163 Main Street,,Rutherglen,G73 2HB,http://www.slleisureandculture.co.uk/info/92/rutherglen_library
Saltcoats Library,Springvale Place,,Saltcoats,KA21 5LS,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000090
Sanquhar Library,106 High Street,,Sanquhar,DG4 6DZ,http://www.dumgal.gov.uk/article/15392/DG-Customer-Services---Sanquhar
Sauchie Community Access Point,42-48 Main Street,,Sauchie,FK10 3JY,http://www.clacksweb.org.uk/culture/sauchiecap/
Scone Library,Sandy Road,,Scone,PH2 6LJ,http://www.culturepk.org.uk/your-local-library/scone-library/
Scottish Borders Library Headquarters ,St Mary's Mill ,,Level Crossing Road,TD7 5EW,http://www.liveborders.org.uk/find_your_nearest_library/library_headquarters_and_local_studies.aspx
Selkirk Library,Ettrick Terrace,,Selkirk,TD7 4LE,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/selkirk_library(1).aspx
Shettleston Library,154 Wellshot Road,,Glasgow,G32 7AX,http://www.glasgowlife.org.uk/libraries/your-local-library/shettleston-library/Pages/home.aspx
Shotts Library,Benhar Road,,Shotts,ML7 5EN,https://culturenl.co.uk/libraries/your-library/shotts-library/
Sighthill Library,Gate 55, 55 Sighthill Road ,,EH11 4PB,https://www.edinburgh.gov.uk/directory_record/5075/sighthill_library
Skelmorlie Library,Skelmorlie Community Centre,,Skelmorlie Castle Road,PA17 5AQ,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000091
Slamannan Library,High Street,,Slamannan,FK1 3EX,http://www.falkirkcommunitytrust.org/venues/slamannan-library/
South Neighbourhood Office & Library,40 Captain's Road,,Edinburgh,EH17 8QF,https://www.edinburgh.gov.uk/directory_record/13909/south_neighbourhood_office_and_library
South Queensferry Library,9 Shore Road, South ,,EH30 9RD,https://www.edinburgh.gov.uk/directory_record/5076/south_queensferry_library
South West Library,Barrâ€™s Cottage,,Greenock,PA16 9HG,https://www.inverclyde.gov.uk/community-life-and-leisure/libraries/about-our-libraries/library-locations
Springburn Library,Kay Street,,Glasgow,G21 1JY,http://www.glasgowlife.org.uk/libraries/your-local-library/springburn-library/Pages/home.aspx
Springside Library,Springside Community Centre ,,Overtoun Road,KA11 3BG,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000092
St Andrews Library,Church Square,,St. Andrews,KY16 9NN,http://onfife.com/venues/st-andrews-library
St Leonards Library,St Leonards Square,,East Kilbride,G74 2AT,http://www.slleisureandculture.co.uk/info/93/st_leonards_library
St Monans Library,St. Monans Town Hall,,Hope Place,KY10 2DH,http://onfife.com/venues/st-monans-library
Stepps Library,10 Blenheim Avenue,,Stepps,G33 6FH,https://culturenl.co.uk/libraries/your-library/stepps-library/
Stevenston Library,1 Main Street,,Stevenston,KA20 3AB,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000078
Stewarton Library,Stewarton Area Centre,,Avenue Street ,KA3 5AP,http://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=57
Stirling Central Library,Corn Exchange Road,,Stirling,FK8 2HX,http://my.stirling.gov.uk/facilities/view/69
Stockbridge Library,11 Hamilton Place ,,Edinburgh ,EH3 5BA,https://www.edinburgh.gov.uk/directory_record/5077/stockbridge_library
Stonehaven Library,Evan Street,,Stonehaven,AB39 2ET,https://www.aberdeenshire.gov.uk/libraries/
